@relation 02_Glass

@attribute Attr1 numeric
@attribute Attr2 numeric
@attribute Attr3 numeric
@attribute Attr4 numeric
@attribute Attr5 numeric
@attribute Attr6 numeric
@attribute Attr7 numeric
@attribute Attr8 numeric
@attribute Attr9 numeric
@attribute DEC {1,2,3,5,6,7}

@data
43.283863,43.759413,112.814064,25.233646,35.178555,0.966184,30.855018,0,0,1
28.358068,47.518812,90.452258,33.333334,52.142904,7.729468,22.304832,0,0,1
22.080987,42.105268,89.195978,38.940809,56.785658,6.280193,21.840151,0,0,1
28.577858,37.293243,92.713569,31.152647,50,9.178744,25.92937,0,0,1
27.524438,38.195505,90.954771,29.595016,58.39287,8.856683,24.535313,0,0,1
21.11496,30.977452,90.703515,41.433022,56.428575,10.305958,24.535313,0,50.980391,1
27.567873,38.646629,90.452258,26.479751,58.571343,9.339774,25.464685,0,0,1
28.138802,36.390981,90.703515,23.676011,61.249939,9.178744,26.115239,0,0,1
35.25056,49.774445,89.949746,33.64486,40.535746,9.017713,26.672864,0,0,1
28.094844,34.135347,90.452258,33.333334,56.785658,9.178744,27.602227,0,21.568628,1
20.017583,29.924825,86.934674,39.563861,60.535637,10.78905,24.721191,0,47.058823,1
28.445984,31.127831,91.959801,30.529595,57.142877,9.661836,29.089223,0,0,1
20.807778,32.330838,86.180906,34.579439,61.96424,11.111111,24.349444,0,47.058823,1
27.787662,32.030079,89.447234,30.529595,60.714247,8.695652,27.416358,0,33.333334,1
28.445984,28.27068,90.201002,31.775699,62.142849,9.339774,28.531598,0,0,1
28.358068,31.27821,88.944722,29.28349,61.249939,9.339774,27.509297,0,0,1
29.368053,29.323321,92.211057,27.102803,58.928562,9.822867,30.390332,0,0,1
47.454106,54.586471,96.733665,18.691589,27.678596,2.415459,34.572486,0,0,1
34.942855,47.669177,93.718593,27.725855,41.250048,0.966184,32.156137,0,0,1
27.216733,34.436106,88.944722,43.613709,52.142904,8.695652,27.973974,0,13.725491,1
27.875578,31.428576,89.195978,37.383178,52.499986,8.695652,28.717476,0,37.254902,1
37.357399,60.751897,94.221105,0,39.464226,0.483092,33.178438,0,0,1
27.260691,30.827072,90.954771,31.152647,53.214288,9.500805,30.390332,0,0,1
27.919536,31.27821,89.69849,33.021808,57.32135,9.983897,29.368031,0,0,1
26.558412,39.849635,87.939698,26.791277,54.285671,8.05153,27.881044,0,0,1
28.489942,33.834588,88.944722,28.660438,56.964267,10.466988,28.810406,0,0,1
29.763151,37.293243,87.437186,34.890965,50.535692,9.500805,27.881044,0,0,1
26.60237,32.180458,87.437186,32.398755,57.678569,9.017713,27.881044,0,0,1
28.665774,27.518812,88.44221,35.514017,59.642863,9.178744,28.903345,0,0,1
29.368053,35.338354,87.688442,30.841121,54.464281,9.661836,28.438659,0,0,1
28.665774,28.872183,89.447234,31.464173,58.39287,9.822867,30.297393,0,27.450981,1
27.743705,31.729334,87.939698,26.479751,61.785631,9.017713,28.996284,0,0,1
28.972955,31.879714,87.437186,29.28349,56.428575,9.822867,29.089223,2.857143,43.137255,1
28.006929,27.669177,87.18593,33.956386,63.928534,9.661836,28.996284,0,11.764706,1
29.324095,29.473686,88.944722,32.710282,56.071357,9.178744,30.855018,0,0,1
19.841752,38.496249,86.683418,28.660438,52.321377,9.017713,29.182153,0,0,1
34.855462,47.518812,88.693466,32.087229,35.714247,8.21256,31.133826,3.492063,0,1
29.938459,30.225569,87.437186,33.021808,56.249966,10.305958,30.204463,0,0,1
48.200343,52.330838,95.979897,5.607477,34.999946,1.771337,38.475833,0,0,1
48.200343,52.330838,95.979897,5.607477,34.999946,1.771337,38.475833,0,0,1
29.763151,30.977452,87.939698,25.856698,57.499959,10.305958,31.040896,0,0,1
28.094844,29.774445,85.92965,28.348911,60.535637,9.500805,29.832717,0,0,1
29.148264,37.293243,85.175882,32.398755,52.678596,9.500805,29.368031,0,0,1
48.06847,45.112785,96.482409,13.39564,34.821472,2.73752,40.055759,0,0,1
29.455969,30.07519,86.180906,28.037385,56.071357,9.983897,30.947957,0,58.823533,1
34.460365,41.503765,87.437186,33.021808,38.214233,8.856683,33.178438,0,0,1
33.09924,36.992484,84.673364,27.725855,51.964294,9.178744,31.598512,0,31.372549,1
68.130011,49.022563,92.964825,13.084112,31.428575,0.322061,40.799253,0,19.607844,1
48.639399,37.293243,94.723617,15.576325,38.928534,2.093398,42.657996,0,0,1
34.372449,42.857151,84.170851,29.28349,40.535746,9.500805,32.342005,0,0,1
52.897557,44.962419,93.467337,6.853583,34.642863,1.449275,43.029742,0,31.372549,1
35.6017,37.142863,83.668339,30.841121,45.535719,9.661836,34.479556,0,21.568628,1
30.421472,40.601518,72.11055,28.037385,54.107062,8.856683,33.457246,0,0,1
31.694681,36.240616,71.356781,30.841121,54.285671,8.856683,33.828993,0,0,1
29.104306,37.293243,70.603013,31.152647,56.607185,8.21256,33.364316,0,17.64706,1
28.709208,25.864667,68.090453,31.152647,69.464199,9.017713,33.736063,0,47.058823,1
4.390032,33.984968,87.18593,25.856698,56.607185,9.983897,27.13755,0,60.784315,1
31.123752,32.180458,87.437186,31.152647,56.071357,9.661836,27.881044,0,0,1
28.050886,41.353386,93.969849,27.414329,56.785658,9.500805,24.163566,0,0,1
28.050886,40.000014,91.959801,28.037385,53.214288,9.178744,26.394056,0,21.568628,1
34.679631,43.15791,90.954771,25.545172,50.535692,2.254428,30.947957,0,0,1
37.840412,46.315805,89.949746,32.087229,34.107171,1.932367,30.111524,21.904761,0,1
46.400687,41.804524,96.984922,18.380062,35.357164,3.703704,38.197025,0,21.568628,1
48.814707,51.729334,95.728641,15.264797,27.499986,0,39.591073,0,0,1
46.400687,41.353386,93.969849,19.003115,39.285753,2.898551,38.84758,0,13.725491,1
43.195948,44.511281,90.201002,25.856698,38.392843,1.449275,36.895906,0,0,1
45.522576,34.88723,91.708545,18.068536,43.035733,3.059581,41.078069,0,33.333334,1
45.522576,34.88723,91.708545,18.068536,44.821418,3.059581,41.078069,0,33.333334,1
45.522576,35.939857,89.949746,19.003115,42.678514,3.703704,40.799253,0,31.372549,1
52.019446,38.797008,89.949746,16.510903,38.928534,1.932367,44.052044,0,5.882353,1
20.149457,62.105268,92.211057,45.17134,36.785767,2.576489,17.936805,0,23.529412,2
32.177171,43.759413,97.236178,30.529595,38.392843,8.695652,26.858733,0,62.745098,2
20.98361,35.488733,90.201002,38.317757,58.749952,10.78905,22.304832,0,0,2
22.651393,39.248132,89.69849,39.875391,54.64289,9.822867,22.862452,0,0,2
21.11496,34.436106,89.447234,38.940809,58.928562,11.594203,22.955391,0,0,2
