@relation 17_Wine

@attribute Attr1 numeric
@attribute Attr2 numeric
@attribute Attr3 numeric
@attribute Attr4 numeric
@attribute Attr5 numeric
@attribute Attr6 numeric
@attribute Attr7 numeric
@attribute Attr8 numeric
@attribute Attr9 numeric
@attribute Attr10 numeric
@attribute Attr11 numeric
@attribute Attr12 numeric
@attribute Attr13 numeric
@attribute DEC {1,2,3}

@data
84.210517,19.16996,57.219254,25.773196,61.956522,62.758616,57.383966,28.301886,59.305994,37.201364,45.528451,97.0696,56.134094,1
57.105262,20.553358,41.711235,3.092781,32.608696,57.586208,51.054853,24.5283,27.444795,26.450513,46.341459,78.021982,55.064194,1
56.052632,32.015807,70.053479,41.237114,33.695652,62.758616,61.181436,32.075473,75.709779,37.542661,44.715444,69.597073,64.693295,1
87.894736,23.913043,60.962566,31.958758,46.73913,98.96551,66.455697,20.754716,55.835966,55.631401,30.89431,79.853482,85.734665,1
58.157893,36.561262,80.748656,53.608247,52.173913,62.758616,49.578061,49.056599,44.479498,25.938568,45.528451,60.805864,32.596291,1
83.42105,20.158102,58.288772,23.711338,45.652174,78.965513,64.345995,39.622641,49.211359,46.672355,46.341459,57.875455,83.594864,1
88.421064,22.332015,58.288772,20.618557,28.26087,52.413791,45.991561,32.075473,49.526816,33.87372,43.902437,84.615382,72.182596,1
79.736856,27.865613,66.844913,36.082475,55.434783,55.862063,45.780591,33.962264,26.498423,32.167237,47.154466,84.615382,72.53923,1
100,17.78656,43.315511,17.525772,29.347826,62.758616,55.696204,30.188677,49.526816,33.447098,48.78049,57.875455,54.707561,1
74.473678,12.055336,48.6631,27.83505,30.434783,68.965515,59.282703,16.981132,45.425869,50.682592,43.089429,83.516482,54.707561,1
80.789487,28.063242,50.267376,38.144329,38.043478,67.931033,62.869198,16.981132,62.145116,38.139932,62.601624,69.597073,87.874465,1
81.315789,14.624506,51.336894,31.958758,27.173913,42.068965,44.092829,24.5283,36.593063,31.740615,56.097556,56.776555,71.46933,1
71.578951,19.565217,56.149736,27.83505,20.652174,55.862063,51.054853,30.188677,44.164037,36.860068,54.471541,59.706963,74.322397,1
97.894739,19.565217,55.080219,4.123707,22.826087,73.103442,70.675108,56.603773,75.709779,35.153585,62.601624,53.479855,62.196862,1
88.1579,22.332015,54.54546,7.216493,34.782609,79.999995,69.620256,30.188677,80.441644,53.071672,58.536588,63.369964,90.513552,1
68.421059,21.146243,71.657756,34.020621,45.652174,64.482753,54.219412,32.075473,33.12303,51.365189,65.040646,58.974363,73.60913,1
86.052639,23.320156,72.727273,48.453607,54.347826,62.758616,59.071733,37.73585,49.211359,41.979521,47.967483,50.549454,71.46933,1
73.684212,16.403162,67.379672,48.453607,48.913043,67.931033,64.556965,50.943395,41.324923,45.392491,52.845527,47.619046,60.770328,1
83.157887,16.798419,59.893048,30.41237,41.304348,79.999995,75.738399,35.849054,45.741327,63.310579,60.97561,56.776555,100,1
68.684223,46.640312,64.171119,23.711338,50,59.310344,56.751055,7.547171,39.432177,32.593856,39.024388,76.556773,40.442225,1
79.736856,17.588932,49.197859,27.83505,60.869565,69.655169,59.704644,20.754716,53.312301,37.28669,49.593498,89.377291,35.805991,1
50.000013,60.474305,68.983961,41.237114,34.782609,49.310346,43.670889,22.641509,49.526816,27.474403,44.715444,82.417582,35.092725,1
70.52632,22.134387,53.475929,30.927836,33.695652,56.20689,53.586501,26.415096,40.378552,21.501706,51.219512,100,53.994294,1
47.894752,16.996047,62.032084,37.113397,27.173913,51.724136,42.827002,24.5283,33.12303,22.610922,49.593498,86.446891,52.56776,1
65.000004,21.146243,66.844913,48.453607,28.26087,53.448272,47.890294,28.301886,39.432177,19.112628,52.03252,93.406591,40.442225,1
53.157904,25.889326,99.465241,74.226804,58.695652,56.896553,49.367091,64.15094,47.634069,19.624573,52.845527,70.695973,39.372325,1
62.105276,20.35573,67.379672,28.350516,25,64.482753,54.852323,39.622641,32.807573,30.034131,35.772359,71.428573,65.406562,1
59.736851,19.367589,41.711235,32.989689,26.086957,48.965518,39.029538,26.415096,29.652998,22.781571,43.902437,54.945055,71.825963,1
74.736842,22.9249,77.005344,45.360822,40.217391,67.931033,55.485234,45.283018,42.586752,27.474403,62.601624,78.021982,45.435093,1
78.684226,18.577073,45.454547,27.83505,28.26087,57.586208,41.983121,24.5283,49.526816,29.180886,45.528451,84.981682,53.994294,1
71.052623,15.019762,71.657756,61.340205,33.695652,69.655169,61.392406,30.188677,62.145116,37.713309,57.72358,52.747254,71.825963,1
67.105265,18.181817,53.475929,43.814434,39.130435,64.82758,60.126584,16.981132,48.580444,47.952219,49.593498,58.974363,88.231098,1
69.736854,21.541502,53.475929,34.020621,36.956522,49.655173,49.578061,54.716976,49.211359,21.843003,60.97561,58.608055,50.784593,1
71.842115,15.612647,71.657756,45.876288,67.391304,67.931033,50.632912,69.811318,29.652998,35.153585,62.601624,63.369964,68.259629,1
65.263168,20.948615,68.983961,43.298968,43.478261,47.241374,46.202532,30.188677,35.646687,24.914674,50.406505,58.608055,58.273894,1
64.473676,21.146243,56.149736,51.030927,32.608696,59.310344,55.696204,24.5283,45.741327,32.593856,45.528451,80.586082,45.791726,1
59.210523,17.78656,79.144379,25.25773,43.478261,55.862063,49.367091,39.622641,29.968456,28.327644,49.593498,55.311355,42.938659,1
53.157904,17.984188,63.63636,38.144329,30.434783,50.689654,44.092829,30.188677,32.492116,25.341297,52.03252,45.421245,58.987161,1
53.684207,15.019762,39.572187,25.25773,30.434783,48.965518,48.52321,28.301886,30.283913,20.648465,56.910563,52.014654,52.924394,1
83.947378,64.229247,61.497325,13.402059,63.043478,69.655169,56.962025,13.207548,52.681387,32.593856,33.333332,82.783882,34.379458,1
66.578962,19.16996,50.802135,28.865982,51.086957,74.827586,62.236287,39.622641,60.88328,41.382254,38.211381,77.289382,36.875892,1
62.631579,61.264818,40.641704,42.268036,21.73913,50.689654,49.367091,26.415096,33.753945,25.597272,34.959351,63.369964,53.994294,1
75.000006,22.727271,65.775396,22.680411,33.695652,78.275859,67.932489,7.547171,40.694009,35.409555,32.520324,83.882782,58.273894,1
58.157893,64.031618,49.732617,35.567009,35.869565,57.24138,48.312239,35.849054,39.432177,26.279865,27.642276,63.369964,28.673324,1
53.157904,20.35573,39.572187,32.989689,40.217391,69.655169,56.118144,28.301886,51.104101,32.081911,32.520324,76.190473,43.295292,1
83.684214,65.217388,57.754013,42.783502,44.565217,64.482753,48.73418,32.075473,26.498423,33.788394,31.707317,75.457873,57.203994,1
88.1579,56.324107,49.197859,27.83505,34.782609,78.275859,59.704644,26.415096,56.151423,30.887373,45.528451,79.487182,56.134094,1
75.526309,18.577073,40.641704,27.83505,33.695652,73.103442,64.345995,15.094338,54.574137,41.126279,34.959351,75.457873,50.42796,1
80.789487,25.296441,55.614977,42.268036,35.869565,61.03448,54.430382,35.849054,62.145116,41.979521,47.967483,54.212455,55.777461,1
76.57894,19.565217,48.6631,35.051543,41.304348,65.517243,67.510549,35.849054,52.681387,65.017062,52.03252,67.032964,70.042796,1
53.157904,19.565217,36.363633,9.278347,23.913043,59.999998,61.814347,7.547171,78.864358,50.511944,52.03252,60.073264,62.196862,1
73.684212,17.984188,66.310154,34.020621,26.086957,50.689654,55.907174,16.981132,59.305994,36.860068,61.788617,76.923073,70.399429,1
73.421048,19.960473,56.684495,17.525772,44.565217,100,71.729959,35.849054,46.056784,49.232084,43.089429,72.893773,65.049929,1
72.105279,22.9249,70.588238,33.505155,48.913043,69.655169,51.687764,49.056599,40.063091,42.832766,52.845527,60.805864,78.245364,1
71.315787,18.379445,47.593582,29.896904,52.173913,55.862063,54.008442,15.094338,38.170348,38.993173,35.772359,70.695973,55.777461,1
66.578962,19.565217,58.823531,51.030927,50,68.27586,51.476793,13.207548,64.353315,42.406143,40.650407,64.468864,60.057061,1
83.947378,18.972332,50.267376,29.381438,52.173913,76.551723,56.118144,24.5283,51.104101,43.515359,37.398373,74.725273,49.35806,1
59.473687,24.3083,70.588238,31.958758,34.782609,69.655169,60.970465,33.962264,39.432177,40.273038,47.967483,57.509155,70.756063,1
70.789484,13.636362,60.962566,31.443302,41.304348,83.448276,70.253167,11.320755,51.419558,47.098978,33.333332,58.608055,71.825963,1
35.26316,3.952569,0,0,19.565217,34.482757,4.852321,28.301886,0.315457,5.716724,46.341459,20.146523,17.261056,2
34.21053,7.114625,49.197859,27.83505,33.695652,36.896548,15.822786,94.339617,0,16.979522,62.601624,14.652014,28.673324,2
42.368435,12.252964,35.294116,31.958758,32.608696,35.862066,22.573839,75.471689,6.624606,38.139932,40.650407,11.721614,12.268188,2
69.47369,10.079051,29.946521,38.144329,26.086957,38.620684,30.590717,35.849054,10.094638,21.501706,60.97561,43.589745,25.10699,2
35.26316,7.707509,42.780752,43.298968,18.478261,86.896548,58.227847,11.320755,46.056784,27.04778,60.162602,58.608055,10.128388,2
30.000008,14.031621,62.566842,43.298968,36.956522,31.379308,29.746836,60.377354,19.558359,14.249147,78.86179,35.164836,5.492154,2
35.26316,9.288538,64.171119,38.659795,30.434783,49.655173,48.73418,45.283018,52.681387,28.327644,57.72358,37.728936,28.53067,2
54.736837,5.335968,18.18182,22.680411,8.695652,68.965515,59.915614,24.5283,58.990537,34.300343,52.03252,69.963373,15.977175,2
35.26316,8.498022,29.946521,46.391753,8.695652,38.965512,35.021098,26.415096,19.873816,29.010238,52.03252,80.952382,16.547789,2
60.789482,3.952569,53.475929,32.989689,43.478261,53.448272,20.253164,79.245282,0.315457,16.126281,43.902437,24.175823,33.666191,2
31.052638,8.893281,20.855614,31.958758,88.043478,29.999999,19.831223,1.886793,65.930601,13.395904,65.040646,65.934064,31.383738,2
33.157899,17.193675,45.454547,50.515461,35.869565,4.137931,14.345991,45.283018,33.12303,15.102389,34.634147,20.146523,42.225392,2
74.473678,15.21739,70.053479,74.226804,17.391304,67.931033,53.164556,15.094338,46.056784,17.91809,71.544715,69.230773,9.415121,2
64.73684,18.181817,47.058823,69.072164,18.478261,31.034481,31.645571,26.415096,19.558359,20.989761,40.650407,55.311355,13.837375,2
51.578946,18.379445,66.310154,100,75,79.999995,53.797471,15.094338,48.895901,17.662115,67.479668,81.684982,50.42796,2
24.473691,6.916996,50.267376,53.608247,33.695652,82.758621,37.974686,0,39.11672,16.467577,41.463415,68.131873,43.366619,2
16.57895,22.529643,29.946521,27.83505,29.347826,21.724137,25.949369,39.622641,23.343848,21.501706,60.97561,31.868136,10.699001,2
52.631576,3.162055,18.716579,27.83505,17.391304,33.448276,35.654008,20.754716,33.12303,28.327644,57.72358,44.322345,8.131241,2
21.315799,42.490119,46.524064,38.144329,45.652174,25.517241,20.675107,56.603773,17.0347,11.689421,39.024388,45.787545,15.834522,2
34.21053,4.940711,31.550804,21.649484,71.73913,31.724135,31.856541,41.509431,74.132494,18.088738,47.154466,38.095236,33.666191,2
43.947368,61.857703,55.614977,63.917525,33.695652,63.793098,46.624472,56.603773,48.580444,11.006826,57.72358,68.131873,13.195435,2
25.526322,3.557312,34.224598,43.298968,17.391304,49.655173,40.50633,32.075473,32.176655,10.409557,73.170729,67.765564,0,2
44.473696,21.146243,44.919788,42.268036,17.391304,42.068965,46.202532,24.5283,42.902209,22.35495,55.284549,68.498173,31.098431,2
27.631583,7.707509,61.497325,69.072164,8.695652,35.172412,26.160339,50.943395,31.230284,7.84983,67.479668,53.113554,25.10699,2
53.157904,61.660075,51.336894,61.340205,16.304348,23.103446,26.371309,90.566036,38.170348,30.034131,29.26829,27.106227,16.904422,2
21.315799,2.964426,65.240637,38.144329,26.086957,42.068965,39.451478,16.981132,61.198737,15.102389,25.203254,66.300364,17.261056,2
43.157902,4.743083,47.058823,38.144329,31.521739,42.068965,33.755276,32.075473,33.12303,11.433446,60.97561,69.230773,12.268188,2
29.736844,17.193675,50.802135,62.886593,21.73913,27.586204,28.481014,56.603773,36.277602,9.982936,69.105693,36.263736,15.477889,2
16.315786,18.379445,67.379672,79.381443,19.565217,32.41379,26.79325,50.943395,29.337541,11.262798,71.544715,71.062273,20.256776,2
16.052647,26.086954,58.823531,56.701032,15.217391,33.448276,28.481014,66.037731,29.652998,12.969283,42.276422,54.212455,28.673324,2
27.631583,11.660079,50.267376,67.010311,0,42.068965,26.371309,54.716976,30.59937,3.924915,47.967483,71.062273,24.750357,2
27.631583,21.541502,51.336894,40.721648,11.956522,21.37931,24.472574,73.584899,38.801262,9.556315,48.78049,36.630036,14.407989,2
25.526322,15.21739,56.684495,58.762886,17.391304,16.206897,19.198312,69.811318,38.485805,19.795221,46.341459,50.549454,12.268188,2
43.684204,15.612647,48.128341,52.061859,10.869565,13.793102,23.628693,84.905653,38.170348,15.102389,39.024388,28.937727,15.477889,2
33.157899,41.304345,45.989305,38.144329,19.565217,50.689654,40.295359,22.641509,49.842273,7.423209,54.471541,74.358973,0.85592,2
15.526319,24.703556,49.197859,38.144329,30.434783,70.344824,40.50633,7.547171,29.652998,16.808874,55.284549,61.904764,4.778887,2
37.894749,15.415019,44.919788,43.298968,100,52.413791,40.7173,35.849054,90.536279,11.262798,55.284549,49.816854,47.00428,2
20.526333,27.272724,73.796791,56.185566,69.565217,21.37931,13.713081,1.886793,36.277602,10.409557,38.211381,36.263736,24.750357,2
33.157899,13.241105,33.15508,27.83505,16.304348,54.137927,45.569621,30.188677,42.902209,13.822527,60.97561,53.846155,10.699001,2
35.26316,6.52174,39.572187,40.721648,19.565217,87.586203,71.940929,20.754716,48.580444,27.474403,45.528451,54.945055,27.24679,2
33.157899,48.023715,45.454547,38.144329,19.565217,64.482753,55.907174,60.377354,75.709779,8.703071,76.422759,57.142855,9.129815,2
27.631583,26.482211,18.18182,35.567009,29.347826,43.103447,38.607597,24.5283,31.230284,17.235495,64.227639,61.904764,30.813124,2
41.315804,11.857708,28.877003,40.721648,19.565217,16.206897,21.518988,30.188677,29.652998,9.982936,45.528451,54.945055,20.256776,2
